symbol,z_number,a_number,mass (amu),spin,abundance (%),half_life (year),coherent_scattering_length (fm),incoherent_scattering_length (fm),coherent_cross_section (barn),incoherent_cross_section (barn),scattering_cross_section (barn),absorption_cross_section (barn)
Sm,62,150,149.917281993,0(+),74.0,,(14+0j),,25.0,,25.0,104.0
Sm,62,152,151.919738646,0(+),26.6,,(-5+0j),,3.1,,3.1,206.0
Sm,62,154,153.922215756,0(+),22.6,,(9.3+0j),,11.0,,11.0,8.4
Eu,63,,151.964,,,,(7.22-1.26j),,6.75,2.5,9.2,4530.0
Eu,63,151,150.919856606,5/2(+),47.8,,(6.13-2.53j),(±4.500000-2.140000j),5.5,3.1,8.6,9100.0
Eu,63,153,152.921236789,5/2(+),52.2,,(8.22+0j),(±3.200000+0.000000j),8.5,1.3,9.8,312.0
Gd,64,,157.249,,,,(6.5-13.82j),,29.3,151.0,180.0,49700.0
Gd,64,152,151.919798414,(+),0.2,,(10+0j),,13.0,,13.0,735.0
Gd,64,154,153.920872974,(+),24.0,,(10+0j),,13.0,,13.0,85.0
Gd,64,155,154.922629356,3/2(-),14.8,,(6-17j),(±5.000000-13.160000j),40.8,25.0,66.0,61100.0
Gd,64,156,155.92213012,(+),20.6,,(6.3+0j),,5.0,,5.0,1.5
Gd,64,157,156.923967424,3/2(-),15.7,,(-1.14-71.9j),(±5.000000-55.800000j),650.0,394.0,1044.0,259000.0
Gd,64,158,157.9241112,0(+),24.8,,(9+0j),,10.0,,10.0,2.2
Gd,64,160,159.927061202,(+),21.8,,(9.15+0j),,10.52,,10.52,0.77
Tb,65,159,158.925353707,3/2(+),100.0,,(7.38+0j),(-0.17+0j),6.84,0.004,6.84,23.4
Dy,66,,162.5,,,,(16.9-0.276j),,35.9,54.4,90.3,994.0
Dy,66,156,155.924283593,(+),0.06,,(6.1+0j),,4.7,,4.7,33.0
Dy,66,158,157.924414817,(+),0.1,,(6+0j),,5.0,,5.0,43.0
Dy,66,160,159.925203578,(+),2.34,,(6.7+0j),,5.6,,5.6,56.0
Dy,66,161,160.926939425,5/2(+),19.0,,(10.3+0j),(±4.900000+0.000000j),13.3,3.0,16.0,600.0
Dy,66,162,161.926804507,(+),25.5,,(-1.4+0j),,0.25,,0.25,194.0
Dy,66,163,162.928737221,5/2(-),24.9,,(5+0j),(1.3+0j),3.1,0.21,3.3,124.0
Dy,66,164,163.929180819,0(+),28.1,,(49.4-0.79j),,307.0,,307.0,2840.0
Ho,67,165,164.930329116,7/2(-),100.0,,(8.01+0j),(-1.7+0j),8.06,0.36,8.42,64.7
Er,68,,167.259,,,,(7.79+0j),,7.63,1.1,8.7,159.0
Er,68,162,161.928787299,(+),0.14,,(8.8+0j),,9.7,,9.7,19.0
Er,68,164,163.929207739,(+),1.56,,(8.2+0j),,8.4,,8.4,13.0
Er,68,166,165.930301067,(+),33.4,,(10.6+0j),,14.1,,14.1,19.6
Er,68,167,166.932056192,7/2(+),22.9,,(3+0j),(1+0j),1.1,0.13,1.2,659.0
Er,68,168,167.932378282,(4),27.1,,(7.4+0j),,6.9,,6.9,2.74
Er,68,170,169.935471933,0(+),14.9,,(9.6+0j),,11.6,,11.6,5.8
Tm,69,169,168.934218956,1/2(+),100.0,,(7.07+0j),(0.9+0j),6.28,0.1,6.38,100.0
Yb,70,,173.045,,,,(12.43+0j),,19.42,4.0,23.4,34.8
Yb,70,168,167.933891297,(+),0.14,,(-4.07-0.62j),,2.13,,2.13,2230.0
Yb,70,170,169.934767242,(+),3.06,,(6.77+0j),,5.8,,5.8,11.4
Yb,70,171,170.936331515,1/2(-),14.3,,(9.66+0j),(-5.59+0j),11.7,3.9,15.6,48.6
Yb,70,172,171.936386654,0(+),21.9,,(9.43+0j),,11.2,,11.2,0.8
Yb,70,173,172.938216211,5/2(-),16.1,,(9.56+0j),(-5.3+0j),11.5,3.5,15.0,17.1
Yb,70,174,173.938867545,0(+),31.8,,(19.3+0j),,46.8,,46.8,69.4
Yb,70,176,175.942574706,(+),12.7,,(8.72+0j),,9.6,,9.6,2.85
Lu,71,,174.96669,,,,(7.21+0j),,6.53,0.7,7.2,74.0
Lu,71,175,174.940777211,7/2(+),97.39,,(7.24+0j),(±2.200000+0.000000j),6.59,0.6,7.2,21.0
Lu,71,176,175.942691711,7(-),2.61,,(6.1-0.57j),(±3.000000+0.610000j),4.7,1.2,5.9,2065.0
Hf,72,,178.486,,,,(7.77+0j),,7.6,2.6,10.2,104.1
Hf,72,174,173.940048377,0(+),0.2,,(10.9+0j),,15.0,,15.0,561.0
Hf,72,176,175.941409797,0(+),5.2,,(6.61+0j),,5.5,,5.5,23.5
Hf,72,177,176.943230187,7/2(-),18.6,,(0.8+0j),(±0.900000+0.000000j),0.1,0.1,0.2,373.0
Hf,72,178,177.943708322,0(+),27.1,,(5.9+0j),,4.4,,4.4,84.0
Hf,72,179,178.945825705,9/2(+),13.7,,(7.46+0j),(±1.060000+0.000000j),7.0,0.14,7.1,41.0
Hf,72,180,179.946559537,0(+),35.2,,(13.2+0j),,21.9,,21.9,13.04
Ta,73,,180.94788,,,,(6.91+0j),,6.0,0.01,6.01,20.6
Ta,73,180,179.947467589,9(-),0.012,,(7+0j),,6.2,0.5,7.0,563.0
Ta,73,181,180.947998528,7/2(+),99.988,,(6.91+0j),(-0.29+0j),6.0,0.011,6.01,20.5
W,74,,183.84,,,,(4.86+0j),,2.97,1.63,4.6,18.3
W,74,180,179.946713304,0(+),0.1,,(5+0j),,3.0,,3.0,30.0
W,74,182,181.948205636,0(+),26.3,,(6.97+0j),,6.1,,6.1,20.7
W,74,183,182.950224416,1/2(-),14.3,,(6.53+0j),,5.36,0.3,5.7,10.1
W,74,184,183.95093318,0(+),30.7,,(7.48+0j),,7.03,,7.03,1.7
W,74,186,185.95436514,0(+),28.6,,(-0.72+0j),,0.065,,0.065,37.9
Re,75,,186.207,,,,(9.2+0j),,10.6,0.9,11.5,89.7
Re,75,185,184.95295832,-5/2(+),37.4,,(9+0j),(±2.000000+0.000000j),10.2,0.5,10.7,112.0
Re,75,187,186.955752217,5/2(+),62.6,,(9.3+0j),(±2.800000+0.000000j),10.9,1.0,11.9,76.4
Os,76,,190.23,,,,(10.7+0j),,14.4,0.3,14.7,16.0
Os,76,184,183.952492919,0(+),0.02,,(10+0j),,13.0,,13.0,3000.0
Os,76,186,185.953837569,0(+),1.58,,(11.6+0j),,17.0,,17.0,80.0
Os,76,187,186.955749569,1/2(-),1.6,,(10+0j),,13.0,0.3,13.0,320.0
Os,76,188,187.955837292,0(+),13.3,,(7.6+0j),,7.3,,7.3,4.7
Os,76,189,188.958145949,3/2(-),16.1,,(10.7+0j),,14.4,0.5,14.9,25.0
Os,76,190,189.958445442,0(+),26.4,,(11+0j),,15.2,,15.2,13.1
Os,76,192,191.961478765,0(+),41.0,,(11.5+0j),,16.6,,16.6,2.0
Ir,77,,192.217,,,,(10.6+0j),,14.1,,14.0,425.0
Ir,77,191,190.960591455,3/2(+),37.3,,,,,,,954.0
Ir,77,193,192.962923753,3/2(+),62.7,,,,,,,111.0
Pt,78,,195.084,,,,(9.6+0j),,11.58,0.13,11.71,10.3
Pt,78,190,189.959949823,0(+),0.01,,(9+0j),,10.0,,10.0,152.0
Pt,78,192,191.961042667,0(+),0.79,,(9.9+0j),,12.3,,12.3,10.0
Pt,78,194,193.962683498,0(+),32.9,,(10.55+0j),,14.0,,14.0,1.44
Pt,78,195,194.964794325,1/2(-),33.8,,(8.83+0j),(-1+0j),9.8,0.13,9.9,27.5
Pt,78,196,195.964954648,0(+),25.3,,(9.89+0j),,12.3,,12.3,0.72
Pt,78,198,197.967896718,0(+),7.2,,(7.8+0j),,7.6,,7.6,3.66
Au,79,197,196.966570103,3/2(+),100.0,,(7.63+0j),(-1.84+0j),7.32,0.43,7.75,98.65
Hg,80,,200.592,,,,(12.692+0j),,20.24,6.6,26.8,372.3
Hg,80,196,195.965833445,0(+),0.2,,(30.3+0j),,115.0,,115.0,3080.0
